Temperature,Fe,O2,Silicate,Nitrate,pH,Phosphate,Salinity,SPCO2,Chla,PAR,DOC,NH4,Iceberg,NPP
-1.797343,0.000988684,328.22976,48.892006,27.751636,8.025907,1.960412,33.990223,40.547623,0.199971,0.11060958,5.522981,0.029255532,0.128582225,0.3960576
-1.7820382,0.00101778,331.87762,47.366023,27.378015,8.031693,1.9350947,33.843903,39.82978,0.433044,0.112231,5.487086,0.03557045,0.170219344,0.5992704
-1.7294226,0.00110387,336.56743,45.25935,26.709786,8.04159,1.8910501,33.52791,38.5605,0.905774,0.14251395,5.495607,0.048929007,0.269932003,1.358208
-1.7045988,0.00115584,343.1596,42.94251,25.867758,8.0567255,1.8375664,33.329422,37.027023,1.403475,0.15829453,5.7002436,0.073102194,0.70392456,2.48832
-1.5715979,0.00121685,351.68156,39.938018,24.570696,8.077794,1.7559807,33.002834,35.03139,1.9755,0.23878628,6.2110387,0.10330026,1.492120915,7.20576
-1.8585613,0.0017134,329.88256,46.668086,26.85053,8.035492,1.9078281,34.159378,39.380207,0.0712,0.04596436,5.382588,0.020393767,4.220077795,0.06096384
-1.8434757,0.00155834,329.85598,45.877717,26.654363,8.02936,1.8948711,33.97508,39.010918,0.0828,0.053073235,5.388113,0.02430531,5.418410976,0.07703424
-1.8385794,0.00144079,330.08322,45.658413,26.63226,8.024159,1.893556,33.97128,38.994446,0.0807,0.05231628,5.3989654,0.025440346,3.92514025,0.07734528
-1.820978,0.001409,329.67693,45.49908,26.590979,8.020482,1.8906546,33.94346,38.98773,0.0803,0.05855833,5.3976947,0.026091393,2.292343546,0.08926848
-1.8099335,0.00138358,329.0754,45.57183,26.610436,8.016912,1.891667,33.92949,39.04518,0.0772,0.059626058,5.399726,0.02644286,1.63502064,0.09092736
-1.8122368,0.00134128,327.52943,46.306107,26.778374,8.014514,1.9022193,33.955677,39.298958,0.0696,0.060055625,5.407963,0.025896694,1.578360211,0.08792064
-1.804344,0.00131248,323.94373,47.935918,27.102897,8.009599,1.9223609,33.95648,39.777718,0.0586,0.068745896,5.4164953,0.023885761,0.833320094,0.098496
-1.8024012,0.00127722,319.2771,50.13554,27.538976,8.006424,1.9493784,33.956135,40.4301,0.0499,0.076810926,5.433616,0.021357153,1.147579315,0.1109376
-1.795102,0.00121847,316.17185,51.901102,27.936194,8.004171,1.97412,33.988358,41.061615,0.0469,0.08169503,5.472208,0.020116717,0.478648483,0.1233792
-1.7965755,0.00114476,315.49537,52.65955,28.158287,8.002873,1.9880224,34.033176,41.412594,0.0472,0.08730806,5.5179577,0.020102681,0.224203032,0.1420416
-1.7999376,0.00109426,315.70268,52.81176,28.234081,8.002794,1.9927532,34.053596,41.52493,0.0493,0.09154137,5.551378,0.020675518,0.335477635,0.1596672
-1.7986413,0.00106839,316.36867,52.65935,28.240947,8.003725,1.993068,34.06015,41.523846,0.0512,0.096314564,5.570968,0.021220521,0.204654842,0.1752192
-1.7989073,0.00105341,317.46003,52.336663,28.210849,8.004388,1.9912582,34.068607,41.461758,0.053,0.10013194,5.578705,0.021674845,0.153348198,0.1886976
